catalogCode,brand,name,variant,sizeValue,sizeUnit,categorySlug,unit,barcode,ivaRate,priceInputMode,priceTotal,synonyms,tags,imageKey,source
MX-WAT-TOPOCHICO-AGUAMINERAL-1.5L,Topo Chico,Agua mineral,,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,topo chico 1.5l|topo 1.5|agua mineral 1.5l|agua mineral 1.5|topo agua mineral,water|agua,,CURATED_MX_V4_PLUS
MX-WAT-PEAFIEL-AGUAMINERAL-500ML,Peñafiel,Agua mineral,,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,peñafiel 500ml|peñafiel 500|agua mineral 500ml|agua mineral 500|peñafiel agua mineral,water|agua,,CURATED_MX_V4_PLUS
MX-WAT-PEAFIEL-AGUAMINERAL-600ML,Peñafiel,Agua mineral,,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,peñafiel 600ml|peñafiel 600|agua mineral 600ml|agua mineral 600|peñafiel agua mineral,water|agua,,CURATED_MX_V4_PLUS
MX-WAT-PEAFIEL-AGUAMINERAL-1L,Peñafiel,Agua mineral,,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,peñafiel 1l|peñafiel 1|agua mineral 1l|agua mineral 1|peñafiel agua mineral,water|agua,,CURATED_MX_V4_PLUS
MX-WAT-PEAFIEL-AGUAMINERAL-1.5L,Peñafiel,Agua mineral,,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,peñafiel 1.5l|peñafiel 1.5|agua mineral 1.5l|agua mineral 1.5|peñafiel agua mineral,water|agua,,CURATED_MX_V4_PLUS
MX-WAT-PEAFIEL-AGUAMINERAL-500ML-LIMONADA,Peñafiel,Agua mineral,Limonada,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,peñafiel 500ml|peñafiel 500|agua mineral limonada 500ml|agua mineral limonada 500|peñafiel agua mineral limonada,water|agua,,CURATED_MX_V4_PLUS
MX-WAT-PEAFIEL-AGUAMINERAL-600ML-LIMONADA,Peñafiel,Agua mineral,Limonada,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,peñafiel 600ml|peñafiel 600|agua mineral limonada 600ml|agua mineral limonada 600|peñafiel agua mineral limonada,water|agua,,CURATED_MX_V4_PLUS
MX-WAT-PEAFIEL-AGUAMINERAL-1L-LIMONADA,Peñafiel,Agua mineral,Limonada,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,peñafiel 1l|peñafiel 1|agua mineral limonada 1l|agua mineral limonada 1|peñafiel agua mineral limonada,water|agua,,CURATED_MX_V4_PLUS
MX-WAT-PEAFIEL-AGUAMINERAL-1.5L-LIMONADA,Peñafiel,Agua mineral,Limonada,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,peñafiel 1.5l|peñafiel 1.5|agua mineral limonada 1.5l|agua mineral limonada 1.5|peñafiel agua mineral limonada,water|agua,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-500ML-FRESAKIWI,Electrolit,Bebida hidratante,Fresa-kiwi,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,electrolit 500ml|electrolit 500|bebida hidratante fresa-kiwi 500ml|bebida hidratante fresa-kiwi 500|electrolit bebida hidratante fresa-kiwi,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-600ML-FRESAKIWI,Electrolit,Bebida hidratante,Fresa-kiwi,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,electrolit 600ml|electrolit 600|bebida hidratante fresa-kiwi 600ml|bebida hidratante fresa-kiwi 600|electrolit bebida hidratante fresa-kiwi,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-1L-FRESAKIWI,Electrolit,Bebida hidratante,Fresa-kiwi,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,electrolit 1l|electrolit 1|bebida hidratante fresa-kiwi 1l|bebida hidratante fresa-kiwi 1|electrolit bebida hidratante fresa-kiwi,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-1.5L-FRESAKIWI,Electrolit,Bebida hidratante,Fresa-kiwi,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,electrolit 1.5l|electrolit 1.5|bebida hidratante fresa-kiwi 1.5l|bebida hidratante fresa-kiwi 1.5|electrolit bebida hidratante fresa-kiwi,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-500ML-COCO,Electrolit,Bebida hidratante,Coco,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,electrolit 500ml|electrolit 500|bebida hidratante coco 500ml|bebida hidratante coco 500|electrolit bebida hidratante coco,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-600ML-COCO,Electrolit,Bebida hidratante,Coco,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,electrolit 600ml|electrolit 600|bebida hidratante coco 600ml|bebida hidratante coco 600|electrolit bebida hidratante coco,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-1L-COCO,Electrolit,Bebida hidratante,Coco,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,electrolit 1l|electrolit 1|bebida hidratante coco 1l|bebida hidratante coco 1|electrolit bebida hidratante coco,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-1.5L-COCO,Electrolit,Bebida hidratante,Coco,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,electrolit 1.5l|electrolit 1.5|bebida hidratante coco 1.5l|bebida hidratante coco 1.5|electrolit bebida hidratante coco,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-500ML-MANZANA,Electrolit,Bebida hidratante,Manzana,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,electrolit 500ml|electrolit 500|bebida hidratante manzana 500ml|bebida hidratante manzana 500|electrolit bebida hidratante manzana,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-600ML-MANZANA,Electrolit,Bebida hidratante,Manzana,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,electrolit 600ml|electrolit 600|bebida hidratante manzana 600ml|bebida hidratante manzana 600|electrolit bebida hidratante manzana,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-1L-MANZANA,Electrolit,Bebida hidratante,Manzana,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,electrolit 1l|electrolit 1|bebida hidratante manzana 1l|bebida hidratante manzana 1|electrolit bebida hidratante manzana,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-1.5L-MANZANA,Electrolit,Bebida hidratante,Manzana,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,electrolit 1.5l|electrolit 1.5|bebida hidratante manzana 1.5l|bebida hidratante manzana 1.5|electrolit bebida hidratante manzana,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-500ML-UVA,Electrolit,Bebida hidratante,Uva,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,electrolit 500ml|electrolit 500|bebida hidratante uva 500ml|bebida hidratante uva 500|electrolit bebida hidratante uva,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-600ML-UVA,Electrolit,Bebida hidratante,Uva,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,electrolit 600ml|electrolit 600|bebida hidratante uva 600ml|bebida hidratante uva 600|electrolit bebida hidratante uva,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-1L-UVA,Electrolit,Bebida hidratante,Uva,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,electrolit 1l|electrolit 1|bebida hidratante uva 1l|bebida hidratante uva 1|electrolit bebida hidratante uva,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-ELECTROLIT-BEBIDAHIDRATANTE-1.5L-UVA,Electrolit,Bebida hidratante,Uva,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,electrolit 1.5l|electrolit 1.5|bebida hidratante uva 1.5l|bebida hidratante uva 1.5|electrolit bebida hidratante uva,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-500ML-LIMN,Gatorade,Bebida deportiva,Limón,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,gatorade 500ml|gatorade 500|bebida deportiva limón 500ml|bebida deportiva limón 500|gatorade bebida deportiva limón,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-600ML-LIMN,Gatorade,Bebida deportiva,Limón,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,gatorade 600ml|gatorade 600|bebida deportiva limón 600ml|bebida deportiva limón 600|gatorade bebida deportiva limón,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-1L-LIMN,Gatorade,Bebida deportiva,Limón,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,gatorade 1l|gatorade 1|bebida deportiva limón 1l|bebida deportiva limón 1|gatorade bebida deportiva limón,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-1.5L-LIMN,Gatorade,Bebida deportiva,Limón,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,gatorade 1.5l|gatorade 1.5|bebida deportiva limón 1.5l|bebida deportiva limón 1.5|gatorade bebida deportiva limón,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-500ML-UVA,Gatorade,Bebida deportiva,Uva,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,gatorade 500ml|gatorade 500|bebida deportiva uva 500ml|bebida deportiva uva 500|gatorade bebida deportiva uva,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-600ML-UVA,Gatorade,Bebida deportiva,Uva,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,gatorade 600ml|gatorade 600|bebida deportiva uva 600ml|bebida deportiva uva 600|gatorade bebida deportiva uva,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-1L-UVA,Gatorade,Bebida deportiva,Uva,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,gatorade 1l|gatorade 1|bebida deportiva uva 1l|bebida deportiva uva 1|gatorade bebida deportiva uva,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-1.5L-UVA,Gatorade,Bebida deportiva,Uva,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,gatorade 1.5l|gatorade 1.5|bebida deportiva uva 1.5l|bebida deportiva uva 1.5|gatorade bebida deportiva uva,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-500ML-NARANJA,Gatorade,Bebida deportiva,Naranja,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,gatorade 500ml|gatorade 500|bebida deportiva naranja 500ml|bebida deportiva naranja 500|gatorade bebida deportiva naranja,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-600ML-NARANJA,Gatorade,Bebida deportiva,Naranja,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,gatorade 600ml|gatorade 600|bebida deportiva naranja 600ml|bebida deportiva naranja 600|gatorade bebida deportiva naranja,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-1L-NARANJA,Gatorade,Bebida deportiva,Naranja,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,gatorade 1l|gatorade 1|bebida deportiva naranja 1l|bebida deportiva naranja 1|gatorade bebida deportiva naranja,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-GATORADE-BEBIDADEPORTIVA-1.5L-NARANJA,Gatorade,Bebida deportiva,Naranja,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,gatorade 1.5l|gatorade 1.5|bebida deportiva naranja 1.5l|bebida deportiva naranja 1.5|gatorade bebida deportiva naranja,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-POWERADE-BEBIDADEPORTIVA-500ML-FRUTAS,Powerade,Bebida deportiva,Frutas,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,powerade 500ml|powerade 500|bebida deportiva frutas 500ml|bebida deportiva frutas 500|powerade bebida deportiva frutas,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-POWERADE-BEBIDADEPORTIVA-600ML-FRUTAS,Powerade,Bebida deportiva,Frutas,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,powerade 600ml|powerade 600|bebida deportiva frutas 600ml|bebida deportiva frutas 600|powerade bebida deportiva frutas,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-POWERADE-BEBIDADEPORTIVA-1L-FRUTAS,Powerade,Bebida deportiva,Frutas,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,powerade 1l|powerade 1|bebida deportiva frutas 1l|bebida deportiva frutas 1|powerade bebida deportiva frutas,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-POWERADE-BEBIDADEPORTIVA-1.5L-FRUTAS,Powerade,Bebida deportiva,Frutas,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,powerade 1.5l|powerade 1.5|bebida deportiva frutas 1.5l|bebida deportiva frutas 1.5|powerade bebida deportiva frutas,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-POWERADE-BEBIDADEPORTIVA-500ML-MORAZUL,Powerade,Bebida deportiva,Morazul,500,ML,water,PIECE,,0.16,INCLUDES_IVA,21.00,powerade 500ml|powerade 500|bebida deportiva morazul 500ml|bebida deportiva morazul 500|powerade bebida deportiva morazul,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-POWERADE-BEBIDADEPORTIVA-600ML-MORAZUL,Powerade,Bebida deportiva,Morazul,600,ML,water,PIECE,,0.16,INCLUDES_IVA,23.00,powerade 600ml|powerade 600|bebida deportiva morazul 600ml|bebida deportiva morazul 600|powerade bebida deportiva morazul,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-POWERADE-BEBIDADEPORTIVA-1L-MORAZUL,Powerade,Bebida deportiva,Morazul,1,L,water,PIECE,,0.16,INCLUDES_IVA,38.00,powerade 1l|powerade 1|bebida deportiva morazul 1l|bebida deportiva morazul 1|powerade bebida deportiva morazul,water|bebida,,CURATED_MX_V4_PLUS
MX-WAT-POWERADE-BEBIDADEPORTIVA-1.5L-MORAZUL,Powerade,Bebida deportiva,Morazul,1.5,L,water,PIECE,,0.16,INCLUDES_IVA,48.00,powerade 1.5l|powerade 1.5|bebida deportiva morazul 1.5l|bebida deportiva morazul 1.5|powerade bebida deportiva morazul,water|bebida,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-50G-CLASSIC,Nescafé,Café soluble,Classic,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,nescafé 50g|nescafé 50|café soluble classic 50g|café soluble classic 50|nescafé café soluble classic,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-100G-CLASSIC,Nescafé,Café soluble,Classic,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,nescafé 100g|nescafé 100|café soluble classic 100g|café soluble classic 100|nescafé café soluble classic,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-200G-CLASSIC,Nescafé,Café soluble,Classic,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,nescafé 200g|nescafé 200|café soluble classic 200g|café soluble classic 200|nescafé café soluble classic,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-250G-CLASSIC,Nescafé,Café soluble,Classic,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,nescafé 250g|nescafé 250|café soluble classic 250g|café soluble classic 250|nescafé café soluble classic,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-50G-DECAF,Nescafé,Café soluble,Decaf,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,nescafé 50g|nescafé 50|café soluble decaf 50g|café soluble decaf 50|nescafé café soluble decaf,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-100G-DECAF,Nescafé,Café soluble,Decaf,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,nescafé 100g|nescafé 100|café soluble decaf 100g|café soluble decaf 100|nescafé café soluble decaf,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-200G-DECAF,Nescafé,Café soluble,Decaf,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,nescafé 200g|nescafé 200|café soluble decaf 200g|café soluble decaf 200|nescafé café soluble decaf,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-250G-DECAF,Nescafé,Café soluble,Decaf,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,nescafé 250g|nescafé 250|café soluble decaf 250g|café soluble decaf 250|nescafé café soluble decaf,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-50G-TASTERSCHOICE,Nescafé,Café soluble,Taster's Choice,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,nescafé 50g|nescafé 50|café soluble taster's choice 50g|café soluble taster's choice 50|nescafé café soluble taster's choice,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-100G-TASTERSCHOICE,Nescafé,Café soluble,Taster's Choice,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,nescafé 100g|nescafé 100|café soluble taster's choice 100g|café soluble taster's choice 100|nescafé café soluble taster's choice,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-200G-TASTERSCHOICE,Nescafé,Café soluble,Taster's Choice,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,nescafé 200g|nescafé 200|café soluble taster's choice 200g|café soluble taster's choice 200|nescafé café soluble taster's choice,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-NESCAF-CAFSOLUBLE-250G-TASTERSCHOICE,Nescafé,Café soluble,Taster's Choice,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,nescafé 250g|nescafé 250|café soluble taster's choice 250g|café soluble taster's choice 250|nescafé café soluble taster's choice,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFLEGAL-CAFMOLIDO-50G,Café Legal,Café molido,,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,café legal 50g|café 50|café molido 50g|café molido 50|café café molido,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFLEGAL-CAFMOLIDO-100G,Café Legal,Café molido,,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,café legal 100g|café 100|café molido 100g|café molido 100|café café molido,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFLEGAL-CAFMOLIDO-200G,Café Legal,Café molido,,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,café legal 200g|café 200|café molido 200g|café molido 200|café café molido,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFLEGAL-CAFMOLIDO-250G,Café Legal,Café molido,,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,café legal 250g|café 250|café molido 250g|café molido 250|café café molido,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFLEGAL-CAFMOLIDO-50G-DESCAFEINADO,Café Legal,Café molido,Descafeinado,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,café legal 50g|café 50|café molido descafeinado 50g|café molido descafeinado 50|café café molido descafeinado,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFLEGAL-CAFMOLIDO-100G-DESCAFEINADO,Café Legal,Café molido,Descafeinado,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,café legal 100g|café 100|café molido descafeinado 100g|café molido descafeinado 100|café café molido descafeinado,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFLEGAL-CAFMOLIDO-200G-DESCAFEINADO,Café Legal,Café molido,Descafeinado,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,café legal 200g|café 200|café molido descafeinado 200g|café molido descafeinado 200|café café molido descafeinado,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFLEGAL-CAFMOLIDO-250G-DESCAFEINADO,Café Legal,Café molido,Descafeinado,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,café legal 250g|café 250|café molido descafeinado 250g|café molido descafeinado 250|café café molido descafeinado,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFBLASN-CAFMOLIDO-50G,Café Blasón,Café molido,,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,café blasón 50g|café 50|café molido 50g|café molido 50|café café molido,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFBLASN-CAFMOLIDO-100G,Café Blasón,Café molido,,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,café blasón 100g|café 100|café molido 100g|café molido 100|café café molido,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFBLASN-CAFMOLIDO-200G,Café Blasón,Café molido,,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,café blasón 200g|café 200|café molido 200g|café molido 200|café café molido,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-CAFBLASN-CAFMOLIDO-250G,Café Blasón,Café molido,,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,café blasón 250g|café 250|café molido 250g|café molido 250|café café molido,coffee_tea|caf,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-50G-NEGRO,Lipton,Té,Negro,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,lipton 50g|lipton 50|té negro 50g|té negro 50|lipton té negro,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-100G-NEGRO,Lipton,Té,Negro,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,lipton 100g|lipton 100|té negro 100g|té negro 100|lipton té negro,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-200G-NEGRO,Lipton,Té,Negro,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,lipton 200g|lipton 200|té negro 200g|té negro 200|lipton té negro,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-250G-NEGRO,Lipton,Té,Negro,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,lipton 250g|lipton 250|té negro 250g|té negro 250|lipton té negro,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-50G-VERDE,Lipton,Té,Verde,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,lipton 50g|lipton 50|té verde 50g|té verde 50|lipton té verde,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-100G-VERDE,Lipton,Té,Verde,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,lipton 100g|lipton 100|té verde 100g|té verde 100|lipton té verde,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-200G-VERDE,Lipton,Té,Verde,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,lipton 200g|lipton 200|té verde 200g|té verde 200|lipton té verde,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-250G-VERDE,Lipton,Té,Verde,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,lipton 250g|lipton 250|té verde 250g|té verde 250|lipton té verde,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-50G-MANZANILLA,Lipton,Té,Manzanilla,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,lipton 50g|lipton 50|té manzanilla 50g|té manzanilla 50|lipton té manzanilla,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-100G-MANZANILLA,Lipton,Té,Manzanilla,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,lipton 100g|lipton 100|té manzanilla 100g|té manzanilla 100|lipton té manzanilla,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-200G-MANZANILLA,Lipton,Té,Manzanilla,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,lipton 200g|lipton 200|té manzanilla 200g|té manzanilla 200|lipton té manzanilla,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-LIPTON-T-250G-MANZANILLA,Lipton,Té,Manzanilla,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,lipton 250g|lipton 250|té manzanilla 250g|té manzanilla 250|lipton té manzanilla,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-TWININGS-T-50G-ENGLISHBREAKFAST,Twinings,Té,English Breakfast,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,twinings 50g|twinings 50|té english breakfast 50g|té english breakfast 50|twinings té english breakfast,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-TWININGS-T-100G-ENGLISHBREAKFAST,Twinings,Té,English Breakfast,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,twinings 100g|twinings 100|té english breakfast 100g|té english breakfast 100|twinings té english breakfast,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-TWININGS-T-200G-ENGLISHBREAKFAST,Twinings,Té,English Breakfast,200,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,45.00,twinings 200g|twinings 200|té english breakfast 200g|té english breakfast 200|twinings té english breakfast,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-TWININGS-T-250G-ENGLISHBREAKFAST,Twinings,Té,English Breakfast,250,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,52.00,twinings 250g|twinings 250|té english breakfast 250g|té english breakfast 250|twinings té english breakfast,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-TWININGS-T-50G-EARLGREY,Twinings,Té,Earl Grey,50,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,25.00,twinings 50g|twinings 50|té earl grey 50g|té earl grey 50|twinings té earl grey,coffee_tea|t,,CURATED_MX_V4_PLUS
MX-COF-TWININGS-T-100G-EARLGREY,Twinings,Té,Earl Grey,100,G,coffee_tea,PIECE,,0.16,INCLUDES_IVA,31.50,twinings 100g|twinings 100|té earl grey 100g|té earl grey 100|twinings té earl grey,coffee_tea|t,,CURATED_MX_V4_PLUS
